# messageDelay  cumulativeProbability
81.4000 0.0100
83.1000 0.0200
89.7000 0.0300
98.2000 0.0400
104.5000 0.0500
108.3000 0.0600
115.6000 0.0700
116.8000 0.0800
118.7000 0.0900
121.2000 0.1000
125.3000 0.1100
126.2000 0.1200
128.0000 0.1300
128.6000 0.1400
134.7000 0.1500
135.5000 0.1600
136.2000 0.1700
137.0000 0.1800
138.4000 0.1900
139.2000 0.2000
142.7000 0.2100
142.9000 0.2200
148.8000 0.2300
151.8000 0.2400
151.8000 0.2500
151.9000 0.2600
152.0000 0.2700
159.0000 0.2800
161.8000 0.2900
165.0000 0.3000
167.0000 0.3100
169.5000 0.3200
175.5000 0.3300
177.9000 0.3400
186.4000 0.3500
197.8000 0.3600
198.5000 0.3700
200.4000 0.3800
203.3000 0.3900
205.2000 0.4000
206.0000 0.4100
206.6000 0.4200
207.5000 0.4300
213.3000 0.4400
216.4000 0.4500
218.0000 0.4600
227.3000 0.4700
227.4000 0.4800
237.1000 0.4900
306.1000 0.5000
308.3000 0.5100
318.2000 0.5200
319.7000 0.5300
328.5000 0.5400
334.2000 0.5500
336.4000 0.5600
338.7000 0.5700
339.6000 0.5800
339.9000 0.5900
340.5000 0.6000
353.6000 0.6100
356.0000 0.6200
357.4000 0.6300
358.3000 0.6400
362.0000 0.6500
370.2000 0.6600
371.9000 0.6700
372.8000 0.6800
374.9000 0.6900
381.2000 0.7000
382.4000 0.7100
388.6000 0.7200
395.5000 0.7300
396.8000 0.7400
400.2000 0.7500
401.4000 0.7600
402.7000 0.7700
407.9000 0.7800
410.9000 0.7900
417.0000 0.8000
420.0000 0.8100
425.4000 0.8200
431.7000 0.8300
438.2000 0.8400
440.6000 0.8500
447.6000 0.8600
451.9000 0.8700
453.6000 0.8800
459.8000 0.8900
460.1000 0.9000
471.0000 0.9100
471.8000 0.9200
477.1000 0.9300
492.4000 0.9400
516.1000 0.9500
518.0000 0.9600
532.6000 0.9700
547.4000 0.9800
558.8000 0.9900
571.9000 1.0000
