# time  created  delivered  delivered/created
0.0000 1 0 0.0000
0.0000 2 0 0.0000
0.0000 3 0 0.0000
0.0000 4 0 0.0000
0.0000 5 0 0.0000
0.0000 6 0 0.0000
0.0000 7 0 0.0000
0.0000 8 0 0.0000
0.0000 9 0 0.0000
0.0000 10 0 0.0000
0.0000 11 0 0.0000
0.0000 12 0 0.0000
0.0000 13 0 0.0000
0.0000 14 0 0.0000
0.0000 15 0 0.0000
0.0000 16 0 0.0000
0.0000 17 0 0.0000
0.0000 18 0 0.0000
0.0000 19 0 0.0000
0.0000 20 0 0.0000
0.0000 21 0 0.0000
0.0000 22 0 0.0000
0.0000 23 0 0.0000
0.0000 24 0 0.0000
0.0000 25 0 0.0000
0.0000 26 0 0.0000
0.0000 27 0 0.0000
0.0000 28 0 0.0000
0.0000 29 0 0.0000
0.0000 30 0 0.0000
0.0000 31 0 0.0000
0.0000 32 0 0.0000
0.0000 33 0 0.0000
0.0000 34 0 0.0000
0.0000 35 0 0.0000
0.0000 36 0 0.0000
0.0000 37 0 0.0000
0.0000 38 0 0.0000
0.0000 39 0 0.0000
0.0000 40 0 0.0000
0.0000 41 0 0.0000
0.0000 42 0 0.0000
0.0000 43 0 0.0000
0.0000 44 0 0.0000
0.0000 45 0 0.0000
0.0000 46 0 0.0000
0.0000 47 0 0.0000
0.0000 48 0 0.0000
0.0000 49 0 0.0000
0.0000 50 0 0.0000
0.0000 51 0 0.0000
0.0000 52 0 0.0000
0.0000 53 0 0.0000
0.0000 54 0 0.0000
0.0000 55 0 0.0000
0.0000 56 0 0.0000
0.0000 57 0 0.0000
0.0000 58 0 0.0000
0.0000 59 0 0.0000
0.0000 60 0 0.0000
89.1000 60 1 0.0167
99.1000 60 2 0.0333
103.8000 60 3 0.0500
106.4000 60 4 0.0667
116.9000 60 5 0.0833
117.7000 60 6 0.1000
119.6000 60 7 0.1167
125.7000 60 8 0.1333
126.1000 60 9 0.1500
127.5000 60 10 0.1667
131.3000 60 11 0.1833
132.8000 60 12 0.2000
133.9000 60 13 0.2167
134.6000 60 14 0.2333
141.2000 60 15 0.2500
144.1000 60 16 0.2667
148.6000 60 17 0.2833
153.9000 60 18 0.3000
163.9000 60 19 0.3167
166.5000 60 20 0.3333
173.2000 60 21 0.3500
174.6000 60 22 0.3667
183.3000 60 23 0.3833
192.7000 60 24 0.4000
193.7000 60 25 0.4167
194.8000 60 26 0.4333
196.6000 60 27 0.4500
204.4000 60 28 0.4667
207.3000 60 29 0.4833
210.6000 60 30 0.5000
216.1000 60 31 0.5167
224.9000 60 32 0.5333
228.9000 60 33 0.5500
229.7000 60 34 0.5667
239.0000 60 35 0.5833
242.0000 60 36 0.6000
243.1000 60 37 0.6167
257.6000 60 38 0.6333
369.5000 60 39 0.6500
373.0000 60 40 0.6667
374.0000 60 41 0.6833
380.1000 60 42 0.7000
385.4000 60 43 0.7167
388.8000 60 44 0.7333
396.4000 60 45 0.7500
400.3000 60 46 0.7667
400.8000 60 47 0.7833
404.8000 60 48 0.8000
405.2000 60 49 0.8167
424.2000 60 50 0.8333
425.0000 60 51 0.8500
426.7000 60 52 0.8667
430.5000 60 53 0.8833
440.3000 60 54 0.9000
473.9000 60 55 0.9167
476.1000 60 56 0.9333
479.3000 60 57 0.9500
508.3000 60 58 0.9667
513.4000 60 59 0.9833
568.5000 60 60 1.0000
